name,abilities,attack,base_egg_steps,base_happiness,base_total,capture_rate,classification,defense,experience_growth,height_m,hp,percentage_male,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,genderless
Nidorina,"['Poison Point', 'Rivalry', 'Hustle']",62,5120,70,365,120,Poison Pin Pokémon,67,1059860,0.8,70,0.0,55,55,56,poison,None,20.0,1,0,0
Nidoqueen,"['Poison Point', 'Rivalry', 'Sheer Force']",92,5120,70,505,45,Drill Pokémon,87,1059860,1.3,90,0.0,75,85,76,poison,ground,60.0,1,0,0
Nidoran♂,"['Poison Point', 'Rivalry', 'Hustle']",57,5120,70,273,235,Poison Pin Pokémon,40,1059860,0.5,46,100.0,40,40,50,poison,None,9.0,1,0,0
Nidorino,"['Poison Point', 'Rivalry', 'Hustle']",72,5120,70,365,120,Poison Pin Pokémon,57,1059860,0.9,61,100.0,55,55,65,poison,None,19.5,1,0,0
Nidoking,"['Poison Point', 'Rivalry', 'Sheer Force']",102,5120,70,505,45,Drill Pokémon,77,1059860,1.4,81,100.0,85,75,85,poison,ground,62.0,1,0,0
Clefairy,"['Cute Charm', 'Magic Guard', 'Friend Guard']",45,2560,140,323,150,Fairy Pokémon,48,800000,0.6,70,24.6,60,65,35,fairy,None,7.5,1,0,0
Clefable,"['Cute Charm', 'Magic Guard', 'Unaware']",70,2560,140,483,25,Fairy Pokémon,73,800000,1.3,95,24.6,95,90,60,fairy,None,40.0,1,0,0
Vulpix,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",41,5120,70,299,190,Fox Pokémon,40,1000000,1.1638924455825865,38,24.6,50,65,65,fire,ice,61.378104993597944,1,0,0
Ninetales,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",67,5120,70,505,75,Fox Pokémon,75,1000000,1.1638924455825865,73,24.6,81,100,109,fire,ice,61.378104993597944,1,0,0
Jigglypuff,"['Cute Charm', 'Competitive', 'Friend Guard']",45,2560,70,270,170,Balloon Pokémon,20,800000,0.5,115,24.6,45,25,20,normal,fairy,5.5,1,0,0
Wigglytuff,"['Cute Charm', 'Competitive', 'Frisk']",70,2560,70,435,50,Balloon Pokémon,45,800000,1.0,140,24.6,85,50,45,normal,fairy,12.0,1,0,0
Zubat,"['Inner Focus', 'Infiltrator']",45,3840,70,245,255,Bat Pokémon,35,1000000,0.8,40,50.0,30,40,55,poison,flying,7.5,1,0,0
Golbat,"['Inner Focus', 'Infiltrator']",80,3840,70,455,90,Bat Pokémon,70,1000000,1.6,75,50.0,65,75,90,poison,flying,55.0,1,0,0
Oddish,"['Chlorophyll', 'Run Away']",50,5120,70,320,255,Weed Pokémon,55,1059860,0.5,45,50.0,75,65,30,grass,poison,5.4,1,0,0
Gloom,"['Chlorophyll', 'Stench']",65,5120,70,395,120,Weed Pokémon,70,1059860,0.8,60,50.0,85,75,40,grass,poison,8.6,1,0,0
Vileplume,"['Chlorophyll', 'Effect Spore']",80,5120,70,490,45,Flower Pokémon,85,1059860,1.2,75,50.0,110,90,50,grass,poison,18.6,1,0,0
Paras,"['Effect Spore', 'Dry Skin', 'Damp']",70,5120,70,285,190,Mushroom Pokémon,55,1000000,0.3,35,50.0,45,55,25,bug,grass,5.4,1,0,0
Parasect,"['Effect Spore', 'Dry Skin', 'Damp']",95,5120,70,405,75,Mushroom Pokémon,80,1000000,1.0,60,50.0,60,80,30,bug,grass,29.5,1,0,0
Venonat,"['Compoundeyes', 'Tinted Lens', 'Run Away']",55,5120,70,305,190,Insect Pokémon,50,1000000,1.0,60,50.0,40,55,45,bug,poison,30.0,1,0,0
Venomoth,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",65,5120,70,450,75,Poison Moth Pokémon,60,1000000,1.5,70,50.0,90,75,90,bug,poison,12.5,1,0,0
Diglett,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",55,5120,70,265,255,Mole Pokémon,30,1000000,1.1638924455825865,10,50.0,35,45,90,ground,ground,61.378104993597944,1,0,0
Dugtrio,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",100,5120,70,425,50,Mole Pokémon,60,1000000,1.1638924455825865,35,50.0,50,70,110,ground,ground,61.378104993597944,1,0,0
Meowth,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",35,5120,70,290,255,Scratch Cat Pokémon,35,1000000,1.1638924455825865,40,50.0,50,40,90,normal,dark,61.378104993597944,1,0,0
Persian,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",60,5120,70,440,90,Classy Cat Pokémon,60,1000000,1.1638924455825865,65,50.0,75,65,115,normal,dark,61.378104993597944,1,0,0
Psyduck,"['Damp', 'Cloud Nine', 'Swift Swim']",52,5120,70,320,190,Duck Pokémon,48,1000000,0.8,50,50.0,65,50,55,water,None,19.6,1,0,0
Golduck,"['Damp', 'Cloud Nine', 'Swift Swim']",82,5120,70,500,75,Duck Pokémon,78,1000000,1.7,80,50.0,95,80,85,water,None,76.6,1,0,0
Mankey,"['Vital Spirit', 'Anger Point', 'Defiant']",80,5120,70,305,190,Pig Monkey Pokémon,35,1000000,0.5,40,50.0,35,45,70,fighting,None,28.0,1,0,0
Primeape,"['Vital Spirit', 'Anger Point', 'Defiant']",105,5120,70,455,75,Pig Monkey Pokémon,60,1000000,1.0,65,50.0,60,70,95,fighting,None,32.0,1,0,0
Growlithe,"['Intimidate', 'Flash Fire', 'Justified']",70,5120,70,350,190,Puppy Pokémon,45,1250000,0.7,55,75.4,70,50,60,fire,None,19.0,1,0,0
Arcanine,"['Intimidate', 'Flash Fire', 'Justified']",110,5120,70,555,75,Legendary Pokémon,80,1250000,1.9,90,75.4,100,80,95,fire,None,155.0,1,0,0
Poliwag,"['Water Absorb', 'Damp', 'Swift Swim']",50,5120,70,300,255,Tadpole Pokémon,40,1059860,0.6,40,50.0,40,40,90,water,None,12.4,1,0,0
Poliwhirl,"['Water Absorb', 'Damp', 'Swift Swim']",65,5120,70,385,120,Tadpole Pokémon,65,1059860,1.0,65,50.0,50,50,90,water,None,20.0,1,0,0
Poliwrath,"['Water Absorb', 'Damp', 'Swift Swim']",95,5120,70,510,45,Tadpole Pokémon,95,1059860,1.3,90,50.0,70,90,70,water,fighting,54.0,1,0,0
Abra,"['Synchronize', 'Inner Focus', 'Magic Guard']",20,5120,70,310,200,Psi Pokémon,15,1059860,0.9,25,75.4,105,55,90,psychic,None,19.5,1,0,0
Kadabra,"['Synchronize', 'Inner Focus', 'Magic Guard']",35,5120,70,400,100,Psi Pokémon,30,1059860,1.3,40,75.4,120,70,105,psychic,None,56.5,1,0,0
Alakazam,"['Synchronize', 'Inner Focus', 'Magic Guard']",50,5120,70,600,50,Psi Pokémon,65,1059860,1.5,55,75.4,175,105,150,psychic,None,48.0,1,0,0
Machop,"['Guts', 'No Guard', 'Steadfast']",80,5120,70,305,180,Superpower Pokémon,50,1059860,0.8,70,75.4,35,35,35,fighting,None,19.5,1,0,0
Machoke,"['Guts', 'No Guard', 'Steadfast']",100,5120,70,405,90,Superpower Pokémon,70,1059860,1.5,80,75.4,50,60,45,fighting,None,70.5,1,0,0
Machamp,"['Guts', 'No Guard', 'Steadfast']",130,5120,70,505,45,Superpower Pokémon,80,1059860,1.6,90,75.4,65,85,55,fighting,None,130.0,1,0,0
Bellsprout,"['Chlorophyll', 'Gluttony']",75,5120,70,300,255,Flower Pokémon,35,1059860,0.7,50,50.0,70,30,40,grass,poison,4.0,1,0,0
Weepinbell,"['Chlorophyll', 'Gluttony']",90,5120,70,390,120,Flycatcher Pokémon,50,1059860,1.0,65,50.0,85,45,55,grass,poison,6.4,1,0,0
Victreebel,"['Chlorophyll', 'Gluttony']",105,5120,70,490,45,Flycatcher Pokémon,65,1059860,1.7,80,50.0,100,70,70,grass,poison,15.5,1,0,0
Tentacool,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,5120,70,335,190,Jellyfish Pokémon,35,1250000,0.9,40,50.0,50,100,70,water,poison,45.5,1,0,0
Tentacruel,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",70,5120,70,515,60,Jellyfish Pokémon,65,1250000,1.6,80,50.0,80,120,100,water,poison,55.0,1,0,0
Geodude,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",80,3840,70,300,255,Rock Pokémon,100,1059860,1.1638924455825865,40,50.0,30,30,20,rock,ground,61.378104993597944,1,0,0
Graveler,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",95,3840,70,390,120,Rock Pokémon,115,1059860,1.1638924455825865,55,50.0,45,45,35,rock,ground,61.378104993597944,1,0,0
Golem,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",120,3840,70,495,45,Megaton Pokémon,130,1059860,1.1638924455825865,80,50.0,55,65,45,rock,ground,61.378104993597944,1,0,0
Ponyta,"['Run Away', 'Flash Fire', 'Flame Body']",85,5120,70,410,190,Fire Horse Pokémon,55,1000000,1.0,50,50.0,65,65,90,fire,None,30.0,1,0,0
Rapidash,"['Run Away', 'Flash Fire', 'Flame Body']",100,5120,70,500,60,Fire Horse Pokémon,70,1000000,1.7,65,50.0,80,80,105,fire,None,95.0,1,0,0
Slowpoke,"['Oblivious', 'Own Tempo', 'Regenerator']",65,5120,70,315,190,Dopey Pokémon,65,1000000,1.2,90,50.0,40,40,15,water,psychic,36.0,1,0,0
Slowbro,"['Oblivious', 'Own Tempo', 'Regenerator']",75,5120,70,590,75,Hermit Crab Pokémon,180,1000000,1.6,95,50.0,130,80,30,water,psychic,78.5,1,0,0
Magnemite,"['Magnet Pull', 'Sturdy', 'Analytic']",35,5120,70,325,190,Magnet Pokémon,70,1000000,0.3,25,None,95,55,45,electric,steel,6.0,1,0,1
Magneton,"['Magnet Pull', 'Sturdy', 'Analytic']",60,5120,70,465,60,Magnet Pokémon,95,1000000,1.0,50,None,120,70,70,electric,steel,60.0,1,0,1
Farfetch'd,"['Keen Eye', 'Inner Focus', 'Defiant']",90,5120,70,377,45,Wild Duck Pokémon,55,1000000,0.8,52,50.0,58,62,60,normal,flying,15.0,1,0,0
Doduo,"['Run Away', 'Early Bird', 'Tangled Feet']",85,5120,70,310,190,Twin Bird Pokémon,45,1000000,1.4,35,50.0,35,35,75,normal,flying,39.2,1,0,0
Dodrio,"['Run Away', 'Early Bird', 'Tangled Feet']",110,5120,70,470,45,Triple Bird Pokémon,70,1000000,1.8,60,50.0,60,60,110,normal,flying,85.2,1,0,0
Seel,"['Thick Fat', 'Hydration', 'Ice Body']",45,5120,70,325,190,Sea Lion Pokémon,55,1000000,1.1,65,50.0,45,70,45,water,None,90.0,1,0,0
Dewgong,"['Thick Fat', 'Hydration', 'Ice Body']",70,5120,70,475,75,Sea Lion Pokémon,80,1000000,1.7,90,50.0,70,95,70,water,ice,120.0,1,0,0
Grimer,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",80,5120,70,325,190,Sludge Pokémon,50,1000000,1.1638924455825865,80,50.0,40,50,25,poison,poison,61.378104993597944,1,0,0
Muk,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",105,5120,70,500,75,Sludge Pokémon,75,1000000,1.1638924455825865,105,50.0,65,100,50,poison,poison,61.378104993597944,1,0,0
Shellder,"['Shell Armor', 'Skill Link', 'Overcoat']",65,5120,70,305,190,Bivalve Pokémon,100,1250000,0.3,30,50.0,45,25,40,water,None,4.0,1,0,0
Cloyster,"['Shell Armor', 'Skill Link', 'Overcoat']",95,5120,70,525,60,Bivalve Pokémon,180,1250000,1.5,50,50.0,85,45,70,water,ice,132.5,1,0,0
Gastly,['Levitate'],35,5120,70,310,190,Gas Pokémon,30,1059860,1.3,30,50.0,100,35,80,ghost,poison,0.1,1,0,0
Haunter,['Levitate'],50,5120,70,405,90,Gas Pokémon,45,1059860,1.6,45,50.0,115,55,95,ghost,poison,0.1,1,0,0
Gengar,['Cursed Body'],65,5120,70,600,45,Shadow Pokémon,80,1059860,1.5,60,50.0,170,95,130,ghost,poison,40.5,1,0,0
Onix,"['Rock Head', 'Sturdy', 'Weak Armor']",45,6400,70,385,45,Rock Snake Pokémon,160,1000000,8.8,35,50.0,30,45,70,rock,ground,210.0,1,0,0
Drowzee,"['Insomnia', 'Forewarn', 'Inner Focus']",48,5120,70,328,190,Hypnosis Pokémon,45,1000000,1.0,60,50.0,43,90,42,psychic,None,32.4,1,0,0
Hypno,"['Insomnia', 'Forewarn', 'Inner Focus']",73,5120,70,483,75,Hypnosis Pokémon,70,1000000,1.6,85,50.0,73,115,67,psychic,None,75.6,1,0,0
Krabby,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",105,5120,70,325,225,River Crab Pokémon,90,1000000,0.4,30,50.0,25,25,50,water,None,6.5,1,0,0
Kingler,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",130,5120,70,475,60,Pincer Pokémon,115,1000000,1.3,55,50.0,50,50,75,water,None,60.0,1,0,0
Voltorb,"['Soundproof', 'Static', 'Aftermath']",30,5120,70,330,190,Ball Pokémon,50,1000000,0.5,40,None,55,55,100,electric,None,10.4,1,0,1
Electrode,"['Soundproof', 'Static', 'Aftermath']",50,5120,70,490,60,Ball Pokémon,70,1000000,1.2,60,None,80,80,150,electric,None,66.6,1,0,1
Exeggcute,"['Chlorophyll', 'Harvest']",40,5120,70,325,90,Egg Pokémon,80,1250000,0.4,60,50.0,60,45,40,grass,psychic,2.5,1,0,0
Exeggutor,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",105,5120,70,530,45,Coconut Pokémon,85,1250000,1.1638924455825865,95,50.0,125,75,45,grass,psychic,61.378104993597944,1,0,0
Cubone,"['Rock Head', 'Lightningrod', 'Battle Armor']",50,5120,70,320,190,Lonely Pokémon,95,1000000,0.4,50,50.0,40,50,35,ground,None,6.5,1,0,0
Marowak,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",80,5120,70,425,75,Bone Keeper Pokémon,110,1000000,1.1638924455825865,60,50.0,50,80,45,ground,fire,61.378104993597944,1,0,0
Hitmonlee,"['Limber', 'Reckless', 'Unburden']",120,6400,70,455,45,Kicking Pokémon,53,1000000,1.5,50,100.0,35,110,87,fighting,None,49.8,1,0,0
Hitmonchan,"['Keen Eye', 'Iron Fist', 'Inner Focus']",105,6400,70,455,45,Punching Pokémon,79,1000000,1.4,50,100.0,35,110,76,fighting,None,50.2,1,0,0
Lickitung,"['Own Tempo', 'Oblivious', 'Cloud Nine']",55,5120,70,385,45,Licking Pokémon,75,1000000,1.2,90,50.0,60,75,30,normal,None,65.5,1,0,0
Koffing,['Levitate'],65,5120,70,340,190,Poison Gas Pokémon,95,1000000,0.6,40,50.0,60,45,35,poison,None,1.0,1,0,0
Weezing,['Levitate'],90,5120,70,490,60,Poison Gas Pokémon,120,1000000,1.2,65,50.0,85,70,60,poison,None,9.5,1,0,0
Rhyhorn,"['Lightningrod', 'Rock Head', 'Reckless']",85,5120,70,345,120,Spikes Pokémon,95,1250000,1.0,80,50.0,30,30,25,ground,rock,115.0,1,0,0
Rhydon,"['Lightningrod', 'Rock Head', 'Reckless']",130,5120,70,485,60,Drill Pokémon,120,1250000,1.9,105,50.0,45,45,40,ground,rock,120.0,1,0,0
Chansey,"['Natural Cure', 'Serene Grace', 'Healer']",5,10240,140,450,30,Egg Pokémon,5,800000,1.1,250,0.0,35,105,50,normal,None,34.6,1,0,0
Tangela,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",55,5120,70,435,45,Vine Pokémon,115,1000000,1.0,65,50.0,100,40,60,grass,None,35.0,1,0,0
Kangaskhan,"['Early Bird', 'Scrappy', 'Inner Focus']",125,5120,70,590,45,Parent Pokémon,100,1000000,2.2,105,0.0,60,100,100,normal,None,80.0,1,0,0
Horsea,"['Swift Swim', 'Sniper', 'Damp']",40,5120,70,295,225,Dragon Pokémon,70,1000000,0.4,30,50.0,70,25,60,water,None,8.0,1,0,0
Seadra,"['Poison Point', 'Sniper', 'Damp']",65,5120,70,440,75,Dragon Pokémon,95,1000000,1.2,55,50.0,95,45,85,water,None,25.0,1,0,0
Goldeen,"['Swift Swim', 'Water Veil', 'Lightningrod']",67,5120,70,320,225,Goldfish Pokémon,60,1000000,0.6,45,50.0,35,50,63,water,None,15.0,1,0,0
Seaking,"['Swift Swim', 'Water Veil', 'Lightningrod']",92,5120,70,450,60,Goldfish Pokémon,65,1000000,1.3,80,50.0,65,80,68,water,None,39.0,1,0,0
Staryu,"['Illuminate', 'Natural Cure', 'Analytic']",45,5120,70,340,225,Starshape Pokémon,55,1250000,0.8,30,None,70,55,85,water,None,34.5,1,0,1
Starmie,"['Illuminate', 'Natural Cure', 'Analytic']",75,5120,70,520,60,Mysterious Pokémon,85,1250000,1.1,60,None,100,85,115,water,psychic,80.0,1,0,1
Mr. Mime,"['Soundproof', 'Filter', 'Technician']",45,6400,70,460,45,Barrier Pokémon,65,1000000,1.3,40,50.0,100,120,90,psychic,fairy,54.5,1,0,0
Scyther,"['Swarm', 'Technician', 'Steadfast']",110,6400,70,500,45,Mantis Pokémon,80,1000000,1.5,70,50.0,55,80,105,bug,flying,56.0,1,0,0
Jynx,"['Oblivious', 'Forewarn', 'Dry Skin']",50,6400,70,455,45,Humanshape Pokémon,35,1000000,1.4,65,0.0,115,95,95,ice,psychic,40.6,1,0,0
Electabuzz,"['Static', 'Vital Spirit']",83,6400,70,490,45,Electric Pokémon,57,1000000,1.1,65,75.4,95,85,105,electric,None,30.0,1,0,0
Magmar,"['Flame Body', 'Vital Spirit']",95,6400,70,495,45,Spitfire Pokémon,57,1000000,1.3,65,75.4,100,85,93,fire,None,44.5,1,0,0
Pinsir,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",155,6400,70,600,45,Stagbeetle Pokémon,120,1250000,1.5,65,50.0,65,90,105,bug,None,55.0,1,0,0
Tauros,"['Intimidate', 'Anger Point', 'Sheer Force']",100,5120,70,490,45,Wild Bull Pokémon,95,1250000,1.4,75,100.0,40,70,110,normal,None,88.4,1,0,0
Magikarp,"['Swift Swim', 'Rattled']",10,1280,70,200,255,Fish Pokémon,55,1250000,0.9,20,50.0,15,20,80,water,None,10.0,1,0,0
Gyarados,"['Intimidate', 'Moxie']",155,1280,70,640,45,Atrocious Pokémon,109,1250000,6.5,95,50.0,70,130,81,water,flying,235.0,1,0,0
Lapras,"['Water Absorb', 'Shell Armor', 'Hydration']",85,10240,70,535,45,Transport Pokémon,80,1250000,2.5,130,50.0,85,95,60,water,ice,220.0,1,0,0
Ditto,"['Limber', 'Imposter']",48,5120,70,288,35,Transform Pokémon,48,1000000,0.3,48,None,48,48,48,normal,None,4.0,1,0,1
Eevee,"['Run Away', 'Adaptability', 'Anticipation']",55,8960,70,325,45,Evolution Pokémon,50,1000000,0.3,55,88.1,45,65,55,normal,None,6.5,1,0,0
Vaporeon,"['Water Absorb', 'Hydration']",65,8960,70,525,45,Bubble Jet Pokémon,60,1000000,1.0,130,88.1,110,95,65,water,None,29.0,1,0,0
Jolteon,"['Volt Absorb', 'Quick Feet']",65,8960,70,525,45,Lightning Pokémon,60,1000000,0.8,65,88.1,110,95,130,electric,None,24.5,1,0,0
Flareon,"['Flash Fire', 'Guts']",130,8960,70,525,45,Flame Pokémon,60,1000000,0.9,65,88.1,95,110,65,fire,None,25.0,1,0,0
Porygon,"['Trace', 'Download', 'Analytic']",60,5120,70,395,45,Virtual Pokémon,70,1000000,0.8,65,None,85,75,40,normal,None,36.5,1,0,1
Omanyte,"['Swift Swim', 'Shell Armor', 'Weak Armor']",40,7680,70,355,45,Spiral Pokémon,100,1000000,0.4,35,88.1,90,55,35,rock,water,7.5,1,0,0
Omastar,"['Swift Swim', 'Shell Armor', 'Weak Armor']",60,7680,70,495,45,Spiral Pokémon,125,1000000,1.0,70,88.1,115,70,55,rock,water,35.0,1,0,0
Kabuto,"['Swift Swim', 'Battle Armor', 'Weak Armor']",80,7680,70,355,45,Shellfish Pokémon,90,1000000,0.5,30,88.1,55,45,55,rock,water,11.5,1,0,0
Kabutops,"['Swift Swim', 'Battle Armor', 'Weak Armor']",115,7680,70,495,45,Shellfish Pokémon,105,1000000,1.3,60,88.1,65,70,80,rock,water,40.5,1,0,0
Aerodactyl,"['Rock Head', 'Pressure', 'Unnerve']",135,8960,70,615,45,Fossil Pokémon,85,1250000,1.8,80,88.1,70,95,150,rock,flying,59.0,1,0,0
Snorlax,"['Immunity', 'Thick Fat', 'Gluttony']",110,10240,70,540,25,Sleeping Pokémon,65,1250000,2.1,160,88.1,65,110,30,normal,None,460.0,1,0,0
Articuno,"['Pressure', 'Snow Cloak']",85,20480,35,580,3,Freeze Pokémon,100,1250000,1.7,90,None,95,125,85,ice,flying,55.4,1,1,1
Zapdos,"['Pressure', 'Static']",90,20480,35,580,3,Electric Pokémon,85,1250000,1.6,90,None,125,90,100,electric,flying,52.6,1,1,1
Moltres,"['Pressure', 'Flame Body']",100,20480,35,580,3,Flame Pokémon,90,1250000,2.0,90,None,125,85,90,fire,flying,60.0,1,1,1
Dratini,"['Shed Skin', 'Marvel Scale']",64,10240,35,300,45,Dragon Pokémon,45,1250000,1.8,41,50.0,50,50,50,dragon,None,3.3,1,0,0
Dragonair,"['Shed Skin', 'Marvel Scale']",84,10240,35,420,45,Dragon Pokémon,65,1250000,4.0,61,50.0,70,70,70,dragon,None,16.5,1,0,0
Dragonite,"['Inner Focus', 'Multiscale']",134,10240,35,600,45,Dragon Pokémon,95,1250000,2.2,91,50.0,100,100,80,dragon,flying,210.0,1,0,0
Mewtwo,"['Pressure', 'Unnerve']",150,30720,0,780,3,Genetic Pokémon,70,1250000,2.0,106,None,194,120,140,psychic,None,122.0,1,1,1
Mew,['Synchronize'],100,30720,100,600,45,New Species Pokémon,100,1059860,0.4,100,None,100,100,100,psychic,None,4.0,1,1,1
Chikorita,"['Overgrow', 'Leaf Guard']",49,5120,70,318,45,Leaf Pokémon,65,1059860,0.9,45,88.1,49,65,45,grass,None,6.4,2,0,0
